turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
"1","A5","miss","F10","miss","SSSS.....S|..........|.......S..|...SS.....|..........|S........M|.....S..S.|..S..S..S.|..........|SSS....SSS","....M.S...|...S..S...|......S.S.|..SS......|S.........|S..S...SS.|S.........|....SSSS..|..S......S|..S......."
"2","E6","miss","I6","miss","SSSS.....S|..........|.......S..|...SS.....|..........|S........M|.....S..S.|..S..S..S.|.....M....|SSS....SSS","....M.S...|...S..S...|......S.S.|..SS......|S....M....|S..S...SS.|S.........|....SSSS..|..S......S|..S......."
"3","D9","miss","E6","miss","SSSS.....S|..........|.......S..|...SS.....|.....M....|S........M|.....S..S.|..S..S..S.|.....M....|SSS....SSS","....M.S...|...S..S...|......S.S.|..SS....M.|S....M....|S..S...SS.|S.........|....SSSS..|..S......S|..S......."
"4","G3","miss","J6","miss","SSSS.....S|..........|.......S..|...SS.....|.....M....|S........M|.....S..S.|..S..S..S.|.....M....|SSS..M.SSS","....M.S...|...S..S...|......S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|....SSSS..|..S......S|..S......."
"5","C3","miss","I2","miss","SSSS.....S|..........|.......S..|...SS.....|.....M....|S........M|.....S..S.|..S..S..S.|.M...M....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|....SSSS..|..S......S|..S......."
"6","J10","miss","C5","miss","SSSS.....S|..........|....M..S..|...SS.....|.....M....|S........M|.....S..S.|..S..S..S.|.M...M....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|....SSSS..|..S......S|..S......M"
"7","I3","hit","F6","miss","SSSS.....S|..........|....M..S..|...SS.....|.....M....|S....M...M|.....S..S.|..S..S..S.|.M...M....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|....SSSS..|..H......S|..S......M"
"8","I2","miss","I5","miss","SSSS.....S|..........|....M..S..|...SS.....|.....M....|S....M...M|.....S..S.|..S..S..S.|.M..MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|....SSSS..|.MH......S|..S......M"
"9","J3","sunk","D3","miss","SSSS.....S|..........|....M..S..|..MSS.....|.....M....|S....M...M|.....S..S.|..S..S..S.|.M..MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|.MMMSSSS..|.MHM.....S|.MHM.....M"
"10","H7","hit","B3","miss","SSSS.....S|..M.......|....M..S..|..MSS.....|.....M....|S....M...M|.....S..S.|..S..S..S.|.M..MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|.MMMSSHS..|.MHM.....S|.MHM.....M"
"11","I8","miss","E9","miss","SSSS.....S|..M.......|....M..S..|..MSS.....|.....M..M.|S....M...M|.....S..S.|..S..S..S.|.M..MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|.MMMSSHS..|.MHM...M.S|.MHM.....M"
"12","I7","miss","I3","miss","SSSS.....S|..M.......|....M..S..|..MSS.....|.....M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M.......|.MMMSSHS..|.MHM..MM.S|.MHM.....M"
"13","G7","miss","C3","miss","SSSS.....S|..M.......|..M.M..S..|..MSS.....|.....M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M...M...|.MMMSSHS..|.MHM..MM.S|.MHM.....M"
"14","H6","hit","E2","miss","SSSS.....S|..M.......|..M.M..S..|..MSS.....|.M...M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M...M...|.MMMSHHS..|.MHM..MM.S|.MHM.....M"
